id,title,image,description,category,budget,latitude,longitude,youtube_url
80,Ayam Bahagia 71 Hj. Sunarti,destination_pics/Ayam_Bahagia_71_Hj._Sunarti.jpg,"Ayam Bahagia 71 Hj. Sunarti adalah restoran yang terletak di Cirebon, Jawa Barat, Indonesia. Hasil pencarian menunjukkan bahwa restoran tersebut terkenal dengan ayam gorengnya dan merupakan tujuan populer bagi penduduk setempat dan wisatawan yang berkunjung ke Cirebon. Restoran ini terletak di Jalan Bahagia No. 69-71, Lemahwungkuk, Cirebon.",WK,0-20000,-6.71498,108.56658,https://youtu.be/_JYFRBz8E2U
81,Pedesan Entog Mas Nana,destination_pics/Pedesan_Entog_Mas_Nana.jpg,"Pedesan Entog Mas Nana terletak di kawasan Megu, Kabupaten Cirebon, rumah makan ini dibuka sejak tahun 2007 dan dikelola sendiri oleh mas Nana, sang pemilik. Dulu, untuk membuka rumah makan pedesan entok ini, sang pemilik hanya bermodalkan Rp 60 ribu, namun karena kerja keras dan kesabarannya, beliau mampu mengembangkan usaha rumah makan miliknya hingga saat ini.",WK,20000-50000,-6.73142,108.49798,https://youtu.be/7cLE6pUZ9A0
82,Pipit Tongseng Battembat,destination_pics/Pipit_Tongseng_Battembat.jpg,"Ripit Tongseng Battembat, İr. H. Juanda merupakan sebuah tempat makan yang berada di Cirebon. Rumah makan ini menyajikan berbagai menu minuman, ayam & bebek & aneka nasi yang dibanderol dengan harga yang murah dan bersahabat dengan kantong Anda. Jika Anda mencari daftar harga menu Ripit Tongseng Battembat, ir. H. Juanda, Anda berada di tempat yang tepat. Di bawah ini akan dibahas secara lengkap menu apa saja yang dijual oleh Pipit Tongseng Battembat, İr. H. Juanda beserta harganya.",WK,20000-50000,-6.70803,108.5178,https://youtu.be/-gKwvP_NAqw
83,Nasi Ati Ayam Santa Maria,destination_pics/Nasi_Ati_Ayam_Santa_Maria.jpg,Nasi ati ayam Santa Maria adalah sejenis hidangan nasi yang dihidangkan dengan ati ayam (hati ayam) yang dimasak dengan gaya khas Santa Maria. Santa Maria adalah nama yang mengacu pada metode atau gaya memasak tertentu yang mungkin memiliki ciri khas dan bumbu khusus. Hidangan ini mungkin memiliki cita rasa unik dan berbeda dari nasi ati ayam pada umumnya.,WK,0-20000,-6.71365,108.56713,https://youtu.be/skOiohPD_Hw
84,Seafood H.Moel,destination_pics/Seafood_H.Moel.jpg,"Seafood H.Moel adalah sebuah restoran atau warung makan yang menyajikan hidangan laut atau seafood. Nama ""H.Moel"" mungkin merujuk pada pemilik atau pendiri restoran tersebut. Seafood H.Moel mungkin menawarkan beragam hidangan laut seperti ikan, udang, kepiting, cumi-cumi, dan mungkin juga hidangan khas atau resep khusus dari restoran tersebut.",WK,0-20000,-6.71275,108.56292,https://youtu.be/vBQh9e2Qqro
85,Sate Kalong Drajat Kesambi,destination_pics/Sate_Kalong_Drajat_Kesambi.jpg,"Sate Kalong Drajat Kesambi adalah sejenis hidangan sate yang dikenal di daerah Kesambi dan berhubungan dengan warung atau restoran yang bernama Drajat. Hidangan ini mungkin memiliki ciri khas tertentu dalam cara penyajiannya, bumbu, atau jenis daging yang digunakan.",WK,0-20000,-6.72916,108.56076,https://youtu.be/rKrXokNgFW8
86,Docang Pak Kumis,destination_pics/Docang_Pak_Kumis.jpg,"Docang Pak Kumis adalah sejenis hidangan tradisional yang berasal dari daerah Sunda, Indonesia. Docang merupakan salah satu jenis makanan khas Sunda yang terdiri dari sayuran segar yang direbus atau dikukus, seperti kangkung, kacang panjang, tauge, dan daun singkong. Hidangan ini kemudian disajikan dengan tambahan bahan seperti tahu goreng, tempe goreng, dan peuyeum (singkong fermentasi). Pak Kumis mungkin merujuk pada seorang tokoh atau pemilik usaha yang terkenal dengan Docang di daerah tersebut.",WR,0-20000,-6.71495,108.55429,https://youtu.be/f4DIgskHOAQ
87,Kue Tapel Mba Lena,destination_pics/Kue_Tapel_Mba_Lena.jpg,Kue Tapel Mba Lena adalah sejenis kue tradisional yang dikenal di daerah tertentu yang dijual atau dihasilkan oleh Mba Lena. Kue ini mungkin memiliki ciri khas dan resep khusus yang menjadi daya tariknya. Tapel adalah sejenis makanan tradisional yang terbuat dari tape singkong yang difermentasi. Kue Tapel Mba Lena mungkin merupakan variasi atau inovasi khusus dari kue tapel yang ditawarkan oleh Mba Lena.,WK,0-20000,-6.71612,108.56016,https://youtu.be/bKSzoACkOCk
88,Jumbo Restaurant Cirebon,destination_pics/Jumbo_Restaurant_Cirebon.jpg,"Restoran ini mungkin dikenal dengan menu atau hidangan khas yang ditawarkannya. Jumbo Restaurant Cirebon kemungkinan menawarkan berbagai macam hidangan, mungkin termasuk hidangan khas daerah Cirebon atau juga hidangan internasional. Restoran ini mungkin juga dikenal dengan pelayanan yang baik dan suasana yang nyaman.",WK,100000-200000,-6.7117,108.56132,
89,Rumah Makan Klapa Manis,destination_pics/Rumah_Makan_Klapa_Manis.jpg,"Rumah Makan Klapa Manis adalah sebuah restoran yang mungkin terletak di suatu tempat tertentu. Restoran ini kemungkinan menawarkan hidangan-hidangan khas yang menggunakan klapa (kelapa) sebagai salah satu bahan utamanya. Nama ""Klapa Manis"" mungkin mengacu pada rasa manis yang dimiliki oleh hidangan-hidangan yang disajikan di restoran ini. Restoran ini mungkin menyajikan hidangan-hidangan tradisional atau mungkin juga menyajikan variasi hidangan modern yang menggunakan klapa sebagai bahan utama.",WK,100000-200000,-6.77895,108.52294,https://youtu.be/BhZtiD8rc8w
90,Nasi Lengko H.Barno,destination_pics/Nasi_Lengko_H.Barno.jpg,"Nasi Lengko H.Barno adalah sebuah hidangan yang terkenal di daerah tertentu yang disajikan di warung atau kedai makan yang dimiliki oleh H.Barno. Hidangan ini biasanya terdiri dari nasi yang disajikan dengan berbagai bahan seperti tahu, tempe, sayuran, mie, telur, dan bumbu khas. Nasi Lengko H.Barno mungkin memiliki cita rasa khas dan resep yang diwariskan dari generasi ke generasi. Warung atau kedai ini mungkin telah menjadi tempat yang populer bagi penduduk setempat dan wisatawan untuk menikmati hidangan nasi lengko yang lezat dan autentik.",WK,0-20000,-6.71597,108.56053,https://youtu.be/6QqTpYhILqo
91,Nasi Jamblang Bu Nur,destination_pics/Nasi_Jamblang_Bu_Nur.jpg,"Nasi Jamblang Bu Nur adalah sebuah hidangan khas yang berasal dari daerah Jamblang, Cirebon. Nasi Jamblang ini biasanya disajikan dengan berbagai macam lauk-pauk tradisional seperti ayam goreng, empal, sambal, dan aneka sayuran. Nama ""Bu Nur"" mungkin merujuk kepada pemilik atau pendiri warung atau kedai yang terkenal dengan hidangan Nasi Jamblang-nya. Warung Nasi Jamblang Bu Nur mungkin menjadi tempat yang populer bagi penduduk setempat dan wisatawan untuk menikmati hidangan nasi dengan cita rasa yang khas dan autentik dari daerah Jamblang.",WK,0-20000,-6.71435,108.55499,https://youtu.be/fFV8LYdy6Ak
92,Empal Gentong H.Apud,destination_pics/Empal_Gentong_H.Apud.jpg,"Empal Gentong H.Apud adalah sebuah hidangan khas dari daerah Cirebon, Jawa Barat. Empal Gentong merupakan masakan berbahan dasar daging sapi yang dimasak dengan berbagai rempah-rempah dan bumbu khas, kemudian disajikan dengan kuah yang kaya akan rasa dan aroma. H.Apud mungkin merujuk kepada nama pemilik atau pendiri warung atau kedai yang terkenal dengan hidangan Empal Gentong-nya. Warung Empal Gentong H.Apud mungkin telah menjadi tempat yang populer bagi penduduk setempat dan wisatawan untuk menikmati hidangan yang lezat dan autentik dari Cirebon.",WK,20000-50000,-6.70734,108.51797,https://youtu.be/EbDeZ6zZJaQ
93,Empal Asem Amarta,destination_pics/Empal_Asem_Amarta.jpg,"Empal Asem Amarta adalah sebuah hidangan khas yang terkenal di daerah Amarta, Cirebon. Empal Asem merupakan masakan berbahan dasar daging sapi yang dimasak dengan campuran bumbu-bumbu rempah dan asem-aseman, sehingga memberikan cita rasa yang khas dan segar. Nama ""Amarta"" mungkin merujuk kepada nama tempat atau mungkin pemilik atau pendiri warung atau kedai yang terkenal dengan hidangan Empal Asem-nya. Warung Empal Asem Amarta mungkin telah menjadi destinasi yang populer bagi para pecinta kuliner untuk menikmati hidangan yang lezat dan autentik dari daerah Amarta, Cirebon.",WK,20000-50000,-6.70746,108.51753,https://youtu.be/Z3nQaAKNml4
94,Empal Dengkil Mang Kojek,destination_pics/Empal_Dengkil_Mang_Kojek.jpg,"Empal Dengkil Mang Kojek adalah sebuah hidangan yang terkenal di daerah Dengkil yang dikreasikan oleh Mang Kojek. Empal Dengkil merupakan masakan berbahan dasar daging sapi yang dimasak dengan berbagai bumbu dan rempah-rempah, kemudian diolah dengan teknik khusus untuk mencapai tekstur yang empuk dan rasa yang lezat. Mang Kojek mungkin merujuk kepada nama seorang koki atau pemilik warung atau kedai yang terkenal dengan hidangan Empal Dengkil-nya. Warung Empal Dengkil Mang Kojek mungkin telah menjadi tujuan kuliner yang populer bagi penduduk setempat dan pengunjung untuk menikmati hidangan khas yang ditawarkan.",WK,20000-50000,-6.70871,108.50562,https://youtu.be/lwJbsRTikis
95,Bubur Ayam M.Toha,destination_pics/Bubur_Ayam_M.Toha.jpg,"Bubur Ayam M.Toha adalah bubur ayam yang terkenal yang disajikan di tempat yang dikelola oleh M.Toha. Bubur Ayam ini merupakan hidangan yang terdiri dari bubur nasi yang lembut dan disajikan dengan potongan daging ayam, irisan daun bawang, bawang goreng, kerupuk, dan beberapa tambahan lainnya seperti cakwe atau telur. Mungkin M.Toha adalah pemilik atau koki yang memiliki resep khusus untuk bubur ayam ini dan telah membuatnya populer di kalangan masyarakat setempat. Tempat makan Bubur Ayam M.Toha mungkin menjadi tempat favorit bagi pecinta bubur ayam untuk menikmati hidangan lezat yang disajikan.",WK,0-20000,-6.70419,108.55786,https://youtu.be/VsBDl2jc0Zo
96,Mie Colot,destination_pics/Mie_Colot.jpg,"Mie Colot adalah sebuah hidangan mie khas yang berasal dari daerah Cirebon, Jawa Barat. Mie Colot terkenal karena tekstur mie yang khas dan bumbu kuahnya yang lezat. Mie ini berbeda dari mie pada umumnya karena mie Colot memiliki tekstur yang lebih kenyal dan tebal. Biasanya mie Colot disajikan dengan kuah yang kental dan gurih, serta ditambahi dengan berbagai bahan pelengkap seperti tauge, irisan daun bawang, emping, dan kerupuk. Keistimewaan Mie Colot juga terletak pada cara penyajiannya. Mie ini biasanya disajikan dengan cara yang unik, yaitu menggunakan batang bambu sebagai wadahnya. Ketika disantap, mie Colot biasanya diaduk dengan bumbu dan bahan pelengkapnya menggunakan tusuk sate atau sumpit, sehingga memberikan pengalaman yang berbeda dan menarik. Mie Colot sangat populer di daerah Cirebon dan menjadi hidangan favorit bagi penduduk setempat maupun wisatawan yang berkunjung. Rasanya yang lezat dan cara penyajiannya yang unik membuat Mie Colot menjadi salah satu kuliner yang patut dicoba jika mengunjungi Cirebon.",WK,0-20000,-6.71829,108.56404,https://youtube.com/shorts/1H84mcBmXks?feature=share
97,Mi Koclok Mang Sam,destination_pics/Mi_Koclok_Mang_Sam.jpg,"Mi Koclok Mang Sam adalah hidangan mi khas yang berasal dari daerah Cirebon, Jawa Barat. Mi Koclok terkenal karena kuahnya yang kental dan gurih, serta mie yang lembut dan kenyal. Hidangan ini biasanya terdiri dari mi kuning yang direbus dan disajikan dengan kuah kaldu ayam yang kaya rasa. Yang membedakan Mi Koclok Mang Sam adalah penggunaan bahan tambahan berupa rempah-rempah dan bumbu khas yang digunakan dalam pembuatan kuahnya. Bumbu tersebut memberikan aroma dan cita rasa khas pada mi koclok. Selain itu, hidangan ini juga biasanya dilengkapi dengan irisan daging ayam, taoge (kecambah kacang hijau), serta taburan daun bawang dan bawang goreng sebagai pelengkap. Mi Koclok Mang Sam sangat populer di kalangan masyarakat Cirebon dan sering dijadikan pilihan sebagai hidangan sarapan atau makan siang. Rasanya yang lezat dan tekstur mie yang kenyal membuat Mi Koclok Mang Sam menjadi hidangan yang disukai banyak orang. Jika Anda mengunjungi Cirebon, mencoba Mi Koclok Mang Sam adalah pengalaman kuliner yang tidak boleh dilewatkan.",WK,0-20000,-6.72022,108.56427,https://youtu.be/iVUTYktg_j4
98,Serabi Pulasaren,destination_pics/Serabi_Pulasaren.jpg,"Serabi Pulasaren adalah makanan tradisional Indonesia yang berasal dari daerah Cirebon, Jawa Barat. Serabi adalah sejenis pancake atau kue dadar yang terbuat dari adonan tepung beras dan santan, yang kemudian dipanggang hingga matang. Serabi Pulasaren memiliki ciri khas adonan yang ringan, tekstur yang lembut, dan cita rasa yang manis. Serabi Pulasaren biasanya disajikan dengan taburan kelapa parut yang telah dicampur dengan gula kelapa sebagai topping. Ada juga varian serabi pulasaren yang ditambahi dengan taburan kacang atau biji wijen untuk memberikan variasi tekstur dan rasa. Makanan ini dapat ditemukan di warung-warung atau penjual kaki lima di daerah Cirebon, dan sering dijadikan sebagai camilan tradisional yang lezat. Serabi Pulasaren menjadi pilihan favorit banyak orang karena kelezatan dan keunikan rasanya. Jika Anda berkunjung ke Cirebon, mencoba Serabi Pulasaren adalah pengalaman kuliner yang harus dicoba.",WK,0-20000,-6.72422,108.56675,https://youtube.com/shorts/GlVtb79fYj0?feature=share
99,Tahu Gejrot Kanoman,destination_pics/Tahu_Gejrot_Kanoman.jpg,"Tahu Gejrot Kanoman adalah hidangan khas dari daerah Cirebon, Jawa Barat, Indonesia. Hidangan ini terdiri dari tahu goreng yang disajikan dengan saus khas yang pedas dan asam. Tahu Gejrot Kanoman biasanya terdiri dari potongan tahu yang digoreng hingga renyah, kemudian disiram dengan saus berbahan dasar gula merah, air asam, bawang putih, cabai, dan garam. Keunikan Tahu Gejrot Kanoman terletak pada sausnya yang memiliki kombinasi rasa manis, pedas, dan asam yang segar. Hidangan ini biasanya disajikan dengan menggunakan tusuk gigi atau lidi sebagai pengganti sendok atau garpu. Ketika hendak menikmatinya, tahu gejrot biasanya dicelupkan ke dalam saus dengan menggunakan tusuk gigi atau lidi. Tahu Gejrot Kanoman sering dijajakan di warung-warung atau pedagang kaki lima di sekitar Cirebon. Rasanya yang unik dan cita rasanya yang khas menjadikannya sebagai camilan yang populer di kalangan masyarakat setempat maupun wisatawan yang berkunjung ke daerah Cirebon.",WK,0-20000,-6.72028,108.56862,https://youtu.be/K5P8vN55oNE
100,Tahu Petis Kertasari,destination_pics/Tahu_Petis_Kertasari.jpg,"Tahu Petis Kertasari adalah hidangan tradisional yang berasal dari daerah Kertasari, Cirebon, Jawa Barat, Indonesia. Hidangan ini terdiri dari tahu yang digoreng hingga renyah dan disajikan dengan bumbu petis yang khas. Tahu Petis Kertasari memiliki rasa yang unik dan menggugah selera. Tahu yang digunakan biasanya memiliki tekstur yang kenyal di dalamnya dan renyah di luar. Bumbu petis yang disajikan sebagai pelengkap memberikan rasa gurih, manis, dan sedikit pedas. Bumbu petis ini terbuat dari campuran petis udang, bawang merah, bawang putih, cabai, dan rempah-rempah lainnya. Hidangan ini biasanya disajikan dengan taburan bawang goreng dan ditambahkan irisan mentimun segar sebagai pelengkap. Rasanya yang lezat dan tekstur tahu yang khas membuat Tahu Petis Kertasari menjadi makanan yang populer di Cirebon. Tahu Petis Kertasari dapat ditemukan di warung-warung atau restoran di sekitar daerah Kertasari, Cirebon. Hidangan ini sering dinikmati sebagai makanan ringan atau sebagai lauk pendamping nasi.",WK,0-20000,-6.75199,108.47126,https://youtu.be/72kf9C5Azu0
101,Es Cuwing Kartini,destination_pics/cuwing_kartini.jpg,"Es Cuwing Kartini adalah minuman tradisional yang populer di Indonesia, khususnya di daerah Jawa Barat. Minuman ini terbuat dari campuran es serut, sirup manis, dan bahan tambahan lainnya seperti biji selasih, jelly, atau potongan buah-buahan. Es Cuwing Kartini biasanya disajikan dalam gelas besar atau mangkuk besar. Es serut yang digunakan memiliki tekstur yang halus dan lembut. Sirup manis yang dituangkan ke atas es serut memberikan rasa manis dan segar pada minuman ini.",WK,0-20000,-6.71129,108.55562,https://youtube.com/shorts/qRmK4nj7Bkw?feature=share
102,Es Kopyor 4848,destination_pics/4848.jpg,"Es Kopyor 4848 adalah minuman segar yang populer di Indonesia. Minuman ini terbuat dari daging kelapa muda yang disebut kopyor, ditambah dengan es serut, sirup manis, dan beberapa bahan tambahan lainnya. Proses pembuatan Es Kopyor 4848 dimulai dengan memperoleh daging kelapa muda yang memiliki tekstur lembut dan lezat. Kemudian, daging kelapa muda tersebut diparut dan diambil sarinya, yang dikenal sebagai kopyor. Kopyor memiliki tekstur yang lebih lembut dan kenyal dibandingkan dengan kelapa muda biasa.",WK,20000-50000,-6.71361,108.56232,https://youtu.be/NoEOnln6zB4
103,Nasi Jamblang Mang Dul,destination_pics/mg_dul.jpg,"Nasi Jamblang Mang Dul adalah sebuah rumah makan yang terkenal dengan hidangan khasnya, yaitu nasi jamblang. Nasi jamblang adalah makanan tradisional dari daerah Cirebon, Jawa Barat, Indonesia. Nasi jamblang biasanya terdiri dari nasi putih yang disajikan dengan berbagai macam lauk-pauk dan sambal. Di Nasi Jamblang Mang Dul, mereka menyajikan nasi jamblang dengan variasi lauk yang beragam. Beberapa lauk yang biasa disajikan di antaranya adalah empal, ayam goreng, ikan goreng, tahu goreng, tempe goreng, dan masih banyak lagi. Setiap lauk disajikan dalam piring kecil dan pengunjung dapat memilih lauk sesuai dengan selera mereka. Yang membedakan nasi jamblang dengan nasi pada umumnya adalah cara penyajiannya. Nasi jamblang biasanya disajikan menggunakan daun jati yang telah dilapisi daun pisang. Pengunjung dapat memilih lauk yang diinginkan dan menempatkannya di atas nasi, kemudian menikmatinya dengan menggunakan tangan.",WK,20000-50000,-6.71224,108.55064,https://youtu.be/iUYzZ-vOMzA
